ARREST_KEY,Latitude,Longitude
172675625,40.81039849,-73.92489531
172663141,40.80995753,-73.90732504
172683715,40.6813182,-73.95650899
172670115,40.83855091,-73.90939937
172676964,40.80995753,-73.90732504
172684107,40.6511491,-73.89504039
172683993,40.64870677,-73.90513094
172675628,40.81039849,-73.92489531
172675629,40.81039849,-73.92489531
172663527,40.80995753,-73.90732504
172664947,40.85793298,-73.90142716
172675636,40.64870677,-73.90513094
172676970,40.80995753,-73.90732504
172683872,40.71812038,-73.95743013
172683887,40.73708228,-73.9829623
172675633,40.81039849,-73.92489531
172674186,40.81039849,-73.92489531
172674189,40.81039849,-73.92489531
172676959,40.81039849,-73.92489531
172664958,40.75295911,-74.00405111
172664957,40.75295911,-74.00405111
172660675,40.80995753,-73.90732504
172663137,40.80995753,-73.90732504
172675631,40.81039849,-73.92489531
172683728,40.79323954,-73.94652953
172634714,40.7110679,-73.94210827
172642815,40.88311992,-73.90332097
172642809,40.82847902,-73.88058162
172659632,40.74783451,-73.87660465
172659375,40.68004873,-73.77590919
172637089,40.70744736,-73.79214177
172659612,40.59638154,-73.97870598
172659633,40.74783451,-73.87660465
172634713,40.7110679,-73.94210827
172657705,40.68874337,-73.94498708
172648350,40.86940749,-73.87999831
172659372,40.60274595,-73.75007787
172641718,40.86940749,-73.87999831
172609347,40.75659468,-73.87560302
172607443,40.84413995,-73.90038862
172607471,40.69833089,-73.91749507
172599842,40.80841775,-73.95247406
172592975,40.81608766,-73.89582435
172628317,40.76015719,-73.76742396
172609324,40.68874337,-73.94498708
172605360,40.72046384,-74.0068522
172607448,40.82338729,-73.87017045
172629596,40.73981598,-73.98244196
172629688,40.73981598,-73.98244196
172610787,40.69843969,-73.83112954
172607456,40.85332023,-73.90602475
172609320,40.81608766,-73.89582435
172616170,40.59406298,-73.96086869
172609317,40.81608766,-73.89582435
172609316,40.81608766,-73.89582435
172592991,40.77471672,-73.97468463
172593309,40.63437957,-73.96408046
172586794,40.68004873,-73.77590919
172553220,40.68004873,-73.77590919
172570615,40.76204389,-73.82732958
172572636,40.81039849,-73.92489531
172574428,40.68004873,-73.77590919
172563869,40.57758742,-73.97633607
172576815,40.68964821,-73.92405412
172562498,40.64689545,-74.01025003
172568911,40.83079891,-73.8269488
172586775,40.73388303,-74.00542831
172592875,40.77471672,-73.97468463
172574420,40.63068216,-73.97355397
172576817,40.80088089,-73.94095381
172582195,40.78414861,-73.97962813
172561175,40.66417118,-73.99051796
172576831,40.68239829,-73.84007937
172592682,40.63068216,-73.97355397
172592692,40.77471672,-73.97468463
172592869,40.77471672,-73.97468463
172586776,40.73388303,-74.00542831
172572660,40.78934789,-73.94735241
172562504,40.76349225,-73.87063736
172553225,40.63806398,-74.1661083
172514411,40.85662248,-73.92968353
172553025,40.76204389,-73.82732958
172559013,40.7372031,-73.9832726
172514412,40.85662248,-73.92968353
172514631,40.65269513,-73.96284168
172532292,40.72628778,-73.98779601
172544966,40.66213674,-73.8953439
172532295,40.72628778,-73.98779601
172555410,40.7372031,-73.9832726
172553227,40.63806398,-74.1661083
172563860,40.81039849,-73.92489531
172534690,40.63068216,-73.97355397
172539958,40.82206023,-73.92399695
172553013,40.69384002,-73.90960683
172530154,40.72628778,-73.98779601
172530119,40.8535874,-73.90059136
172534704,40.72628778,-73.98779601
172534688,40.67141166,-73.88151172
172537394,40.60274595,-73.75007787
172546931,40.84504594,-73.88041815
172530158,40.68004873,-73.77590919
172519867,40.72906475,-73.81102013
172526186,40.76539748,-73.98570226
172539988,40.63866759,-74.0224634
172553224,40.62685806,-74.16344338
172546936,40.67111083,-73.91356336
172532288,40.72628778,-73.98779601
172553223,40.6235958,-74.08277206
172532296,40.72628778,-73.98779601
172530149,40.71552621,-74.00123875
172532282,40.72628778,-73.98779601
172544948,40.88733282,-73.84725001
172544962,40.66213674,-73.8953439
172553228,40.63806398,-74.1661083
172553011,40.69384002,-73.90960683
172503375,40.80401295,-73.87833183
172504707,40.65941973,-73.74100624
172497364,40.80401295,-73.87833183
172474743,40.67141166,-73.88151172
172499280,40.66692937,-73.89561033
172493221,40.72629309,-73.73476085
172493041,40.80401295,-73.87833183
172493048,40.80401295,-73.87833183
172493058,40.80401295,-73.87833183
172493060,40.80401295,-73.87833183
172497392,40.79000732,-73.94889393
172503380,40.80401295,-73.87833183
172493049,40.84413995,-73.90038862
172493032,40.83778162,-73.91945797
172493042,40.80401295,-73.87833183
172493045,40.81039849,-73.92489531
172493050,40.84413995,-73.90038862
172494992,40.81039849,-73.92489531
172493055,40.80401295,-73.87833183
172493065,40.80401295,-73.87833183
172504678,40.80401295,-73.87833183
172497380,40.67111083,-73.91356336
172494998,40.80401295,-73.87833183
172508496,40.60112973,-73.93434956
172503378,40.80401295,-73.87833183
172503412,40.65941973,-73.74100624
172475257,40.84646642,-73.90238751
172514041,40.84637013,-73.86653289
172493068,40.80401295,-73.87833183
172503376,40.80401295,-73.87833183
172473668,40.70744736,-73.79214177
172468141,40.67141166,-73.88151172
172479011,40.71868653,-73.94049272
172479009,40.71868653,-73.94049272
172479013,40.71868653,-73.94049272
172468145,40.68874337,-73.94498708
172474830,40.84646642,-73.90238751
172466876,40.69801664,-73.93707793
172456901,40.75885708,-73.98861665
172472642,40.69449438,-73.98173627
172434176,40.86254302,-73.89707116
172431280,40.75724053,-73.98979364
172434849,40.7517785,-73.85519804
172443462,40.68964821,-73.92405412
172446247,40.59060807,-74.10089593
172453360,40.69659212,-73.78339072
172451187,40.76204389,-73.82732958
172443463,40.67141166,-73.88151172
172444963,40.81608766,-73.89582435
172453362,40.69659212,-73.78339072
172451184,40.76204389,-73.82732958
172446231,40.64759484,-73.89233246
172446246,40.59263928,-74.10083059
172451185,40.76204389,-73.82732958
172451183,40.76204389,-73.82732958
172434843,40.81756739,-73.938233
172442248,40.67141166,-73.88151172
172447615,40.66961517,-73.90683872
172451186,40.76204389,-73.82732958
172453363,40.69659212,-73.78339072
172417310,40.84031356,-73.8674088
172412986,40.80608515,-73.9414549
172412982,40.80608515,-73.9414549
172419052,40.59406298,-73.96086869
172412993,40.59582086,-73.77257302
172414662,40.70396114,-73.79654918
172409954,40.64502275,-74.07721685
172412978,40.80608515,-73.9414549
